user,text
jram0214,@4cdLabor @jtfdenver @OmarRiverosays You spelled Donald Trump wrong.
CathyP35406479,"@billdubs @maddow @MSNBC @comcast Nobody is a bigger bully than Donald Trump! In racism, bigotry, chauvinism, you name it and he is the biggest bully! Down with Trump and up with lasting Freedom!!"
Brooklyn2263,@cenkuygur what's funny is that a lot of these people flipping out about it are somehow the people get picked to be judges of beauty pageants for  little girls like Donald Trump himself he likes little girls so much he made his own teen pageants
DonaldTrumpNe,"Journalist: Trump’s new venture is coming at a ‘cost’
#donaldtrump

https://t.co/dQwng5qrl1"
Mrj_NAFO,"@jman37297 @Official_NAFO America is a hole besides journalists are too busy complaining about the latest ""woke"" scandal, things Donald Trump does and whatever celebrity goes batshit crazy, it's a big joke."
mikegonzalez2k,"@realJRCooper @D_R_Ball @cenkuygur How exactly are we narcissists?  Donald Trump literally makes everything about himself.  He's one of the most narcissistic people on this planet.  We literally campaign on things like ""Not me, Us"""
thetoodapper_,"Elon Musk,Bill Gates, Mark Zuckerberg, Donald Trump, Aliko Dangote, Myself and other billionaires would like to wish u a happy new YEAR! ❤️"
profoundlymark,"Donald Trump asked Jared Kushner if he could trademark the phrase 'Rigged Election,' January 6 interview transcript shows https://t.co/UAEI8ruwUC via @Yahoo"
cNFTfART,@_kevin_io @LopezKanapi @Cryptoknightenj @nobsfud @Wrathtank_avax @discoiinfernos @nativ_truth @iamILLNOIZE @s04p_ @DeansEpoch @jkeartieco @ChilledCardano @DonaldTrump spork.
_GOING_AWOL_,"@mymomentnow @CpaCarter @laurielew1966 @FreedomFitt @POTUS Who gives a damn about Trump anymore. Focus on the sitting president. Don't you think its weird that hes not in the same limelight as Donald Trump. Biden doesn't get publicly ridiculed, even on Republican media."
whatstheprob379,@CNNFilms cnn films do a film on Barbara Walters and her TENCE INTERVIEW WITH DONALD TRUMP! SHE CLAIMED HE WAS A FRAUD THEN AND NOW!
MernM6,"@CollinRugg @laralogan The left w media lapdogs have set precedent with the never-ending saga of Trump tax returns. If Donald Trump has nothing to hide (where are we at, 3 tax returns revealed), surely Dems who are never (found) guilty of anything should be happy to share."
stephenhitche11,@DavidWolfe Gets it right everytime your saviour Donald Trump millionaire business man .I have to admit I thought for a bit he could be honest hopefully .I'm no soothsayer.
BStormee,"@ProudElephantUS @RAS101st1970 DEFINITELY YES, I SUPPORT OUR REAL PRESIDENT DONALD TRUMP"
19RoLo67,"@JDCocchiarella I wonder what the consequences are if #DonaldTrump doesn't pay his foreign taxes. Must be more severe vs #American taxes.
#USA"
Ayud04982816,"Check out Max the Gremlin's video! #TikTok https://t.co/BZgUXB2hfN Speaker Pelosi stating she is going to punch out Donald Trump.

A_¥ud"
Dr_RLC,"@FlavioBolsonaro Sim, conseguiram seguir o “script” de Donald Trump”, com uma vantagem para o americano: Ele não fugiu, covardemente, de seu país."
tonypigott,"@ABridgen … said. Theresa May said: “I don’t think it’s appropriate for me to comment on an ongoing police investigation”. The media headlines were: “Theresa May slaps down Donald Trump”. She did nothing of that kind. Then there was the anti-Brexit coverage, the pro-BLM coverage,…"
bholiday003,"@ChristineW7 @andysignore @NBCNews @NBCNewsPR Ahem, dear one. If you read about Don Bockoven (not Brokov) you would _know_ that he was appointed in 2018 by Donald Trump to the Advisory Committee for Trade Policy and Negotiations. Don't fib now. We DO know Don's political alliances and his places of work, Silly! 😂"
SeraJane5,"@Srachelle3 @jimboazil @NoLieWithBTC Two wrongs, okay? Okay. Donald Trump lied about his foreign business dealings. He has constantly danced the racist edge against China, and the Chinese."
JMFROX,"@NickAdamsinUSA The left hates Donald Trump because he is a pathological lying, con man, fraud, and traitor to our nation propped up by pathetic POS like you."
SuparnaNick,"@Victorshi2020 Get this: in 2020, Donald Trump claimed he closed his foreign bank account in China before running in 2016. But Trump’s newly-released tax returns show he *did* hold foreign bank accounts in China in 2016 AND 2017. Trump lied to voters. And it’s about time he is held accountable."
randomtrump1,Random Trump https://t.co/EtNyJx4R3v - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/u5q0156K6H
ElvisHayabusa,@TimRunsHisMouth Donald Trump
_kevin_io,@LopezKanapi @Cryptoknightenj @nobsfud @Wrathtank_avax @discoiinfernos @nativ_truth @iamILLNOIZE @s04p_ @DeansEpoch @cNFTfART @jkeartieco @ChilledCardano @DonaldTrump Let me catch y’all up real quick ! https://t.co/cU7XvrORhC
Ahclem53,"@NickAdamsinUSA The left hates Donald Trump because ...
The left knows what he is. https://t.co/Lv3tTvJNi9"
vjhay420,"@nobsfud @Wrathtank_avax @discoiinfernos @nativ_truth @iamILLNOIZE @s04p_ @DeansEpoch @LopezKanapi @cNFTfART @jkeartieco @Cryptoknightenj @_kevin_io @ChilledCardano @DonaldTrump You gotta #Derp it bruh! 🤙🏻🤩😤

#DerpBirds #Season3 #Rebirth #Questing https://t.co/1EK0Rh7Kky"
yuribarilo,@POTUS You suck dude! Cant even call you My President as I could Donald Trump!
Chrisca02535365,@NWSLosAngeles Donald Trump storm!
realTuckFrumper,UNHEEDED WARNING: Donald Trump insisted these extremist leaders be allowed at January 6th rally https://t.co/zX01TY1ROk
ProsperousMe,@jasonllevin I’ve been boycotting Home Depot since Donald Trump’s first campaign in 2016 and again in 2020! Anyone who supports Donald Trump is supporting a traitor to our country. Period.
SlayerSley,@jkeartieco @iamILLNOIZE @nobsfud @SmolKombat @Wrathtank_avax @discoiinfernos @nativ_truth @s04p_ @DeansEpoch @LopezKanapi @cNFTfART @Cryptoknightenj @_kevin_io @ChilledCardano @DonaldTrump @NamiWallet @eternlwallet @jpgstoreNFT Wait a min name is familiar
Ally64989709,"@hole_oops @DFBHarvard ""A new attack ad blames Joe Biden for the spike in Covid-era violence against Asian Americans that community leaders say Donald Trump fueled""
https://t.co/Z7g1lLbYA9"
outerspacemanII,Greed Stupidity killing indigenous sounds like something @Elonmusk #DonaldTrump repugs #gop #CRIMINALcapitalist do
cescozanasi,It's 2023 and I must say that Donald Trump is still the most vile human being walking around on this planet. #fuckwit
TammyFCh1,UNHEEDED WARNING: Donald Trump insisted these extremist leaders be allowed at January 6th rally via @OccupyDemocrats https://t.co/kqHIqjR7DN
MakeDonald,Donald Trump müsste in Erwägung ziehen auf dem Kopf stehend mit zwei Faultieren während eines Schneesturms Tischtennis zu spielen.
Novice1014,@RonFilipkowski She literally is running the Donald Trump crybaby play by play. Where’s her originality
Sheri1606,"Read ""The Biggest Threat to America Isn’t Donald Trump or MAGA' on SmartNews: https://t.co/IwE7YbVefH"
phxOutreach,@MuellerSheWrote Donald Trump is coming to get you! Make sure you get that eighth booster and mask up!
Klaustheghost,@realDonaldTrump donald trump paid more taxes to China in 2020 then he did to america
Radar_Funk,@CaukinsR @Sonia_art2 Donald Trump is a good salesman.  That is all he is.
iWeStayUnited,"''No one is born hating another person because of their skin color, background or religion. It must be learned'' - Nelson Mandela. the Profiling Muslims from coming to America is common sense - Donald Trump"
SashaMania36,@JoJoFromJerz In 2023 I've got a feeling that Donald Trump will finally go to jail thanks to Jack Smith.
younakaEVH,@MaryB19447428 Thank you Mary😘Happy New Year🎉I look forward to seeing Donald Trump being hand cuffed in 2023🎉
JoshMD13,"@GermanicusXV @Gottiegamer7162 @emiliallure Um, are you unfamiliar with how sleazy politicians are? How much lying and corruption they engage in? Donald Trump was no typical President -- he was arguably the worst in history. A twice-impeached inveterate liar, he incited a goddamn insurrection when he lost re-election."
FabulousThomasJ,"Your reminder Barbara Walters was once closeted homosexual Roy Cohn's girlfriend, and one of Donald Trump's closest friends. https://t.co/32TfG8DQ99"
FloKiNY_,@POTUS Arrest Elon Musk and Donald Trump before there is another insurrection in 2023.
SitaRan24525983,"Orange ass clown donald trump's boyfriend 😂🤣😂🤣😂🤣😂🤣🤣🤣😂🤣😂🤣🤣🤣🤣
@kimguilfoyle @DonaldJTrumpJr https://t.co/iaJk1LfraZ"
denisemlowe6,@joncoopertweets conviction of Donald Trump. it’s all i want.
19RoLo67,"@RonFilipkowski @nytimes will still be around after you're long gone, #DonaldTrump.
#Grifter #Conman #Unfit #Unqualified #Inept 

#America #USA"
Yo_Grace5,"@ericareport Donald Trump lied his way into the POTUS OFFICE, lied while in the POTUS OFFICE and still lying! Why are surprised by these Tax Evasion tax results. I’m waiting for the cuffs and leg shackles on his way to the Federal Penitentiary"
MSomervilleXI,"However, I would pay money just to see a “Donald Trump Jr Study Bible”"
cathyob1,"@RepAndyBiggsAZ Well, now that Donald Trump is gone....."
uma08906967,Donald Trump paid Stormy Daniel more than he paid his taxes  @GOP https://t.co/BLI17jQvfT
kaustubhagudi,"@TrueIndology The idea was to bring down Governments and reign in anarchy in America (USA) by toppling Donald Trump presidency. COVID-19 was the weapon for democrats. A story was already in the news regarding this:
https://t.co/Y5d2SqFJ70"
stephfinebot,"Has Donald Trump gained weight? If he doesn’t respect himself, how can we expect him to respect Tesla?"
Deb89403453,@StreetsMilton @XAVIAERD Wasn’t Donald Trump still technically a Democrat when he made that statement????
q_and_s_net,"""'The Apprentice' has been excellent for my dad. Before, there was always that kind of corporate, Nap..."" -- Donald Trump, Jr. | @DonaldJTrumpJr

#donaldtrump,jr. #quotes #quotesandsayings #motivation #inspiration #sayings #quote #quoteoftheday"" https://t.co/DLrEptQlFA"
PinotandPizza,@atrupar Joe Biden is living rent free in Donald Trump's head
SMichaelmas1,"@laurenboebert Neither do things like this: The Bowling Green massacre is a fictitious incident of Islamic terrorism mentioned by Kellyanne Conway, then–Counselor to the President of Donald Trump, in interviews with Cosmopolitan and TMZ on January 29, 2017-which your party claimed happened."
KunoLorraine,@PapiTrumpo @DonaldJTrumpJr Happy Birthday too you Donald Trump Jr 🎉❤️
NanaWildflowers,@patrickbetdavid 2016 when President Donald Trump was in office.
Jurkanaud,"@Ecothedragon37 donald trump and vince mcmahon (the guy with shaving cream on his head) made a bet: pick a wrestler to fight at wrestlemania; loser gets their head shaved

trump's pick was bobby lashley (the black guy) and he beat umaga, vince's pick

this was 2007"
MaxNordau,Here Are The Billionaires Who Donated To Donald Trump’s 2020 Presidential Campaign https://t.co/iIJU2HvMXA
rdb82414005,"@DonaldJTrumpJr Just to let you and Donald Trump
Know

We know he is right it is time to really drain the swamp

Trump 2024"
JimHealey65,@TimRunsHisMouth Donald trump
1967Nickpi,"Herrn Präsident Donald Trump und Ihren
Angehörigen mit den Besten Wünschen
 Ein Frohes 2023 besinnliche guten Rutsch
ins neue Jahr 
HAPPY NEW YEAR
سال 2023 میلادی را برای ایرانیان و ملت جهان خجسته باد https://t.co/vglImJWW2M"
randomtrump1,Random Trump https://t.co/DuG5BTx4xr - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/sbgupbKn0f
Usuariocomn8,"@alexo2k @PonchoGutz Para empezar el peso no se devaluó, no se devalúa desde 1995.
El dólar aumentó su precio por la demanda creciente del dólar debido a la administración de Donald Trump.
Si quieres ver, no había desabasto de medicinas, la gasolina estaba más barata y teníamos crecimiento económico"
lilykatchr,@BasedSavannah @RepThomasMassie That went from Ray Epps to Donald Trump in. DC second!
LopezKanapi,@_kevin_io @Cryptoknightenj @nobsfud @Wrathtank_avax @discoiinfernos @nativ_truth @iamILLNOIZE @s04p_ @DeansEpoch @cNFTfART @jkeartieco @ChilledCardano @DonaldTrump Yeah... Facts be facts 😂 https://t.co/c2aJAKzjRJ
chrishinca42,@wolfiecomedy @MuseumModernArt Donald Trump ?
Froste235,@stealth883 @MadeInTheUSANJ @Jim_Jordan WOW. More lies. Show proof! PEOPLE DIED BECAUSE OF DONALD TRUMP. JAN. 6TH IS PROOF.
CryptoRezen,@nobsfud @Wrathtank_avax @discoiinfernos @nativ_truth @iamILLNOIZE @s04p_ @DeansEpoch @LopezKanapi @cNFTfART @jkeartieco @Cryptoknightenj @_kevin_io @ChilledCardano @DonaldTrump https://t.co/F2JhnQidS5
JesseOutlaw16,@elonmusk Stay strong and don’t worry about the rhetoric.I don’t care what people say(I steel love Elon and Donald Trump
___Mezzala,"Basically, if Donald Trump opens his mouth about anything ever then he’s lying."
DeniseTrotter12,Thank you and Happy new year!praying Donald Trump Dont run again.Donald Trump lead people into breaking constitution  laws.some killed and some marched illegally  on The Capitol  killing and injury some innocent folks.Donald Trump 👀 watch his destruction goes into accuracy. https://t.co/hiraqx4mxK
brule_t,"@Quen231 If God kills babies it's his right too, since he's our Creator. But you or someone else killing them is murder. And Donald Trump isn't a racist. If you think he's you've been lied too, he has many minorities working for him. And if he was a racist why did they vote for him."
LopezKanapi,@Cryptoknightenj @iamILLNOIZE @nobsfud @Wrathtank_avax @discoiinfernos @nativ_truth @s04p_ @DeansEpoch @cNFTfART @jkeartieco @_kevin_io @ChilledCardano @DonaldTrump Happy New Year mfs 🫡 https://t.co/DluyyLlbXD
LeBonTravel,Will never forget that Donald Trump gave Rush the Medal of Freedom! For that alone we'll vote for him! @DavidLimbaugh
padraig5762,Except we proved it wasn’t by electing Donald Trump.
HeyJackson18,"@AdrianJJohnson2 @LemeritusPrime @RepStefanik Roy Moore, Donald Trump, etc! Yeah you sure burned those Libs!"
SandpiperLife,"Oh, now wouldn't this be epic!
https://t.co/TeODL02W5a
#LizCheney #DonaldTrump #SpeakerTrump"
LindaCanady17,"@angeldem1950 @TheFungi669 The ques is why should average working people's &amp; retirees pay more taxes than rich people like Donald Trump.They get tax breaks.While you pay more taxes.Between your mortgage, Rent,food &amp; your taxes. What is left. You lucky if you can afford a can of beans."
LeBonTravel,Will never forget that Donald Trump gave Rush the Medal of Freedom! Will vote for him for that reason alone! https://t.co/I2kNkbRlUG
Mayor_McAwesome,"In 2023 I want to see:
1) Andrew Tate and Donald trump get sentenced to life in prison
2) Elon musk go bankrupt
3) Grayson Allen getting his face bashed in"
Federic25485648,@Gilbenn Paaahh!!! Que le paso en la cara a Donald Trump???
stonertrans,"@Scudmonk21 @ksorbs Oh she made videos screaming how she was going to take down the pedo dems on j6 for Donald Trump or die trying

She was right about one thing"
yu_zin3R,"Donald Trump has been calling out the Fake News for decades, including in this 1990 interview with the late Barbara Walters.

“I hope the general public understands how inherently dishonest the press in this country is.”

Trump has known the news is fake for a long, long time. https://t.co/VK5Bsd0WIA"
Ojeda4America,Donald Trump’s threat of a third party run should show EVERYONE that he only cares for himself. I am fine with him tanking the GOP but I really do hope his supporters see him for what he really is.  I can’t lie….I hope that one day all of those who have been duped see the light!
Jlg66321563Jlg,@ericareport Vladimir Putin by far. Killing people puts you at the top of the list. Second gun laws in the USA that allow easy access for people to obtain. Then the egomaniac Donald Trump.
thereseflanagan,"@gane_joshua #Trump. They could be twins. They are both human air quotes.

#GeorgeSantos &amp; #DonaldTrump lie; then they lie about their lies; then they lie again. Santos and Trump are liars. https://t.co/MJEzTCI7Bs"
schnookster58th,"@MayraFlores2022 Isn't it strange how your savior Donald Trump paid a million dollars in taxes to China, but none to the USA?"
Macjac0323,@ProudElephantUS Put Donald Trump in charge
_kevin_io,"@LopezKanapi @Cryptoknightenj @nobsfud @Wrathtank_avax @discoiinfernos @nativ_truth @iamILLNOIZE @s04p_ @DeansEpoch @cNFTfART @jkeartieco @ChilledCardano @DonaldTrump Bro, I seen you kill a snake with a spork , flip flops &amp; a hello Kitty shirt… you’re famous ."
